config,round,val_accuracy,val_loss,virtual_time,wall_time,round_time,participation
fedavg,41,0.38519999384880066,1.7629648447036743,184205.85359668755,37.19473207369447,60174.81780085173,340
fedavg,42,0.3971000015735626,1.7551017999649048,188591.70725375155,38.07238328270614,61561.50564188639,351
fedavg,43,0.37849998474121094,1.7548611164093018,192977.56091081555,38.93773870635778,62125.82742030656,341
fedavg,44,0.39569997787475586,1.7435904741287231,197363.41456787955,39.934160872362554,62871.55326803061,362
fedavg,45,0.39089998602867126,1.7375913858413696,201749.26822494355,40.803032964468,64143.35025667792,347
fedavg,46,0.397599995136261,1.7359060049057007,206135.12188200754,41.726770808920264,66122.3524108704,362
fedavg,47,0.41110000014305115,1.720672607421875,210520.97553907154,42.616357867605984,66905.63516862692,350
fedavg,48,0.4052000045776367,1.7243492603302002,214906.82919613554,43.527880538254976,67714.62296200104,363
fedavg,49,0.3992999792098999,1.7295691967010498,219292.68285319954,44.43679306469858,68427.17597657892,362
fedavg,50,0.40939998626708984,1.7047892808914185,223678.53651026354,45.2883319510147,69894.43716194271,335
fedavg,51,0.40789997577667236,1.6998933553695679,228064.39016732754,46.207467067055404,70766.72078925415,361
fedavg,52,0.40959998965263367,1.6953617334365845,232450.24382439154,47.09933774638921,72991.60933743602,352
fedavg,53,0.4193999767303467,1.68778657913208,236836.09748145554,48.04524081107229,73596.4015734476,353
fedavg,54,0.4140999913215637,1.686737060546875,241221.95113851954,48.972654967568815,74242.77399584069,372
fedavg,55,0.4145999848842621,1.6773595809936523,245607.80479558354,49.8272847533226,75033.32930600157,340
fedavg,56,0.4197999835014343,1.6757701635360718,249993.65845264753,50.72638436593115,76230.54605731957,359
fedavg,57,0.4098999798297882,1.6725095510482788,254379.51210971153,51.52187353372574,78155.4680530168,320
fedavg,58,0.4165000021457672,1.6695014238357544,258765.36576677553,52.41076218057424,78701.82796246946,358
fedavg,59,0.4253000020980835,1.6535158157348633,263151.21942383953,53.32664692401886,79203.1696123077,370
fedavg,60,0.4278999865055084,1.6508941650390625,267537.0730809035,54.217932717874646,80740.08375791053,355
fedavg,61,0.42809998989105225,1.6404833793640137,271922.9267379675,55.03702227026224,81746.21345199738,327
fedavg,62,0.4377000033855438,1.6396503448486328,276308.78039503144,55.94041059166193,82891.428374795,361
fedavg,63,0.43039998412132263,1.643872857093811,280694.6340520954,56.78868931066245,83900.63097433058,339
fedavg,64,0.43629997968673706,1.6312745809555054,285080.4877091594,57.68933973740786,84778.95108830271,362
fedavg,65,0.44119998812675476,1.6226853132247925,289466.34136622335,58.540279663167894,85589.1518674631,333
fedavg,66,0.4285999834537506,1.619692325592041,293852.1950232873,59.34236368071288,86606.28518668114,320
fedavg,67,0.436599999666214,1.6193010807037354,298238.0486803513,60.25268057733774,87576.2356800009,359
fedavg,68,0.4461999833583832,1.6032193899154663,302623.90233741526,61.20306819677353,89078.39144343216,385
fedavg,69,0.4306999742984772,1.6110012531280518,307009.75599447923,62.021222995594144,89731.74349974115,328
fedavg,70,0.4509999752044678,1.5978277921676636,311395.6096515432,62.90523940697312,90345.32190224122,349
fedavg,71,0.435699999332428,1.6046669483184814,315781.46330860717,63.76159517094493,90948.91191377478,344
fedavg,72,0.44099998474121094,1.5942689180374146,320167.31696567114,64.72532775811851,92654.46408913168,388
fedavg,73,0.4456000030040741,1.5829999446868896,324553.1706227351,65.63627846818417,95036.43998013096,357
fedavg,74,0.44209998846054077,1.5849424600601196,328939.0242797991,66.53545271232724,96212.78553636538,354
fedavg,75,0.44189998507499695,1.5927233695983887,333324.87793686305,67.50480952393264,98416.45538678828,350
fedavg,76,0.45080000162124634,1.5740888118743896,337710.731593927,68.48713402170688,99884.44423451128,359
fedavg,77,0.45239999890327454,1.5707433223724365,342096.585250991,69.48132972512394,104219.91924337311,364
fedavg,78,0.45009997487068176,1.569213628768921,346482.43890805496,70.48857717495412,104967.48241088014,368
fedavg,79,0.45729997754096985,1.5694913864135742,350868.2925651189,71.5228780535981,105638.24723984818,356
fedavg,80,0.4558999836444855,1.56605863571167,355254.1462221829,72.52187231462449,107637.29562650187,363
fedavg,81,0.4494999945163727,1.5642011165618896,359639.99987924687,73.48613861761987,108968.69518074446,328
fedavg,82,0.4562999904155731,1.554221749305725,364025.85353631084,74.40495274402201,111200.32603554506,335
fedavg,83,0.4578000009059906,1.5475877523422241,368411.7071933748,75.26056457869709,113430.62619289522,312
fedavg,84,0.45719999074935913,1.5467568635940552,372797.5608504388,76.24269260279834,114619.33085415546,354
fedavg,85,0.45729997754096985,1.5476778745651245,377183.41450750275,77.30363969318569,115438.11065739318,389
fedavg,86,0.44749999046325684,1.5531896352767944,381569.2681645667,78.28309625387192,116230.02611768928,357
fedavg,87,0.4608999788761139,1.536734700202942,385955.1218216307,79.24952283874154,117109.7539576317,350
fedavg,88,0.4643999934196472,1.5378522872924805,390340.97547869466,80.23161368630826,118423.48218965018,354
fedavg,89,0.4673999845981598,1.531032681465149,394726.8291357586,81.14211709052324,119647.53485823954,330
fedavg,90,0.46309998631477356,1.5288183689117432,399112.6827928226,82.09900345932692,121377.1117308127,349
fedavg,91,0.46449998021125793,1.5244476795196533,403498.53644988657,83.0672976160422,122807.82458579849,354
fedavg,92,0.46779999136924744,1.5234750509262085,407884.39010695054,83.96611547563225,124253.53431337554,323
fedavg,93,0.460099995136261,1.5368106365203857,412270.2437640145,84.93722384050488,125691.21178206368,354
fedavg,94,0.46879997849464417,1.5186301469802856,416656.0974210785,85.92945428006351,126387.34874638192,363
fedavg,95,0.4625999927520752,1.5183030366897583,421041.95107814245,86.90380780305713,126943.91027942688,353
fedavg,96,0.46709999442100525,1.514377236366272,425427.8047352064,87.82709778659046,127500.85329589792,334
fedavg,97,0.4684999883174896,1.5223559141159058,429813.6583922704,88.81038783024997,128404.20634960309,358
fedavg,98,0.4616999924182892,1.5334776639938354,434199.51204933436,89.78345110546798,131684.86047679794,355
fedavg,99,0.46369999647140503,1.529054045677185,438585.3657063983,90.71680243965238,132813.85978281157,339
tifl,0,0.11589999496936798,2.300152540206909,400.0,0.2216270798817277,118.6586191122462,37
tifl,1,0.15279999375343323,2.2711658477783203,800.0,0.497954735532403,311.36857982526806,87
tifl,2,0.11909999698400497,2.2844417095184326,1200.0,0.5852368734776974,407.29067708564565,15
tifl,3,0.1266999989748001,2.2584807872772217,1600.0,0.6836366569623351,506.7172743982581,19
tifl,4,0.1947999894618988,2.2294013500213623,2000.0,1.0110578127205372,664.7330069537385,102
tifl,5,0.21869999170303345,2.2115840911865234,2400.0,1.2722988557070494,1063.6200491299182,81
tifl,6,0.23249998688697815,2.190406084060669,2800.0,1.572397444397211,1222.582519251176,97
tifl,7,0.2402999997138977,2.1713645458221436,3200.0,1.8710382245481014,1611.2550958941767,96
