m_min,num_tiers,bucket,advantage,accuracy,prior,class_tier_mi,mean_participation,release_rate,n_query,advantage_l2,advantage_l3,honest_set,honest_class,collusion_rate
25,8,single,0.604739336492891,0.6890380313199105,0.21327367636092467,0.44242055693313354,321.3875,0.916403785488959,1341,0.7357075913776945,0.9906279287722587,39.70051635111876,5.177143848088095,0.1
35,8,uniform/40,0.523121387283237,0.624715693707354,0.21304018195602728,0.4441209785583424,280.75,0.7389240506329114,1319,0.6735653809971778,0.9717779868297272,43.04710920770878,6.495398696711933,0.1
35,8,single,0.5154142581888247,0.6186504927975739,0.21304018195602728,0.4441209785583424,280.75,0.7389240506329114,1319,0.6773283160865474,0.9717779868297272,43.04710920770878,6.495398696711933,0.1
45,8,uniform/40,0.35877106045589685,0.49453125,0.21171875,0.4377837076052517,233.3625,0.5425361155698234,1280,0.6458923512747875,0.9537299338999057,49.4792899408284,9.126763932073667,0.1
45,8,single,0.35877106045589685,0.49453125,0.21171875,0.4377837076052517,233.3625,0.5425361155698234,1280,0.6317280453257791,0.9537299338999057,49.4792899408284,9.126763932073667,0.1
48,8,uniform/40,0.32482124616956076,0.47456279809220986,0.2217806041335453,0.4370887918761426,205.6125,0.46526655896607433,1258,0.5935727788279773,0.9357277882797731,51.21180555555556,11.02698488033087,0.1
48,8,single,0.31052093973442285,0.46343402225755165,0.2217806041335453,0.4370887918761426,205.6125,0.46526655896607433,1258,0.5869565217391304,0.9357277882797731,51.21180555555556,11.02698488033087,0.1
52,8,uniform/40,0.30030333670374115,0.4494828957836118,0.21320604614160701,0.4357389572894413,207.725,0.4395424836601307,1257,0.6330188679245283,0.9330188679245283,55.36431226765799,11.24132142617337,0.1
52,8,single,0.29120323559150657,0.4423229912490056,0.21320604614160701,0.4357389572894413,207.725,0.4395424836601307,1257,0.619811320754717,0.930188679245283,55.36431226765799,11.24132142617337,0.1
58,8,uniform/40,0.16409036860879903,0.36666666666666664,0.24234234234234234,0.43341124704975187,162.35,0.3219761499148211,1110,0.5547169811320755,0.8481132075471699,61.423280423280424,16.564992678094583,0.1
58,8,single,0.1605231866825208,0.36396396396396397,0.24234234234234234,0.43341124704975187,162.35,0.3219761499148211,1110,0.5452830188679246,0.8349056603773585,61.423280423280424,16.564992678094583,0.1
65,8,uniform/40,0.1794582392776524,0.3650655021834061,0.2262008733624454,0.4280902961256099,175.5625,0.32698961937716264,1145,0.5608365019011406,0.879277566539924,66.67195767195767,16.27227997777954,0.1
65,8,single,0.17155756207674946,0.3589519650655022,0.2262008733624454,0.4280902961256099,175.5625,0.32698961937716264,1145,0.5503802281368821,0.8545627376425855,66.67195767195767,16.27227997777954,0.1
80,8,uniform/40,0.0,0.3285024154589372,0.3285024154589372,0.42531912639588043,33.3625,0.05311355311355311,207,0.0,0.03855721393034825,81.72413793103448,65.67510548523207,0.1
80,8,single,0.0,0.3285024154589372,0.3285024154589372,0.42531912639588043,33.3625,0.05311355311355311,207,0.0,0.033582089552238834,81.72413793103448,65.67510548523207,0.1
