m_min,round,val_accuracy,round_time,participation
1,66,0.10799999535083771,26422.8999133686,303
1,67,0.11429999768733978,26822.412398736782,330
1,68,0.10529999434947968,27220.650796656915,352
1,69,0.11229999363422394,27618.646391880477,318
1,70,0.11969999969005585,28018.539140043747,325
1,71,0.11969999969005585,28417.457797817417,312
1,72,0.125900000333786,28815.606165466597,350
1,73,0.12479999661445618,29214.765376997395,330
1,74,0.11989999562501907,29613.817719004783,314
1,75,0.1256999969482422,29998.42617621358,320
1,76,0.125900000333786,30396.25366106436,311
1,77,0.12119999527931213,30794.39325948516,346
1,78,0.12939999997615814,31181.555701078025,333
1,79,0.1251000016927719,31580.49191872954,329
1,80,0.12919999659061432,31962.711974695925,341
1,81,0.1281999945640564,32357.13863698987,312
1,82,0.13449999690055847,32752.2704870551,296
1,83,0.13179999589920044,33143.827012607806,292
1,84,0.12960000336170197,33542.42606220178,329
1,85,0.13349999487400055,33939.86120453306,352
1,86,0.13120000064373016,34334.48223480129,344
1,87,0.1378999948501587,34734.14813852329,304
1,88,0.13030000030994415,35124.91772713295,324
1,89,0.13689999282360077,35521.789675644985,296
1,90,0.13539999723434448,35919.1457408918,301
1,91,0.13920000195503235,36318.09749375107,328
1,92,0.1412999927997589,36717.23082110248,305
1,93,0.1386999934911728,37114.940201285564,330
1,94,0.1460999995470047,37509.68207206676,332
1,95,0.14219999313354492,37903.88001692567,325
1,96,0.14909999072551727,38301.5180308292,312
1,97,0.14829999208450317,38696.77175458573,321
1,98,0.14559999108314514,39093.637906960226,320
1,99,0.1387999951839447,39483.533231524045,301
40,0,0.012899999506771564,399.9865418873601,289
40,1,0.013299999758601189,788.4941742398096,319
40,2,0.01719999872148037,1184.1108695287846,288
40,3,0.01730000041425228,1581.2396449437983,268
40,4,0.01809999905526638,1968.1205817929795,287
40,5,0.01759999990463257,2367.0076239691593,255
40,6,0.017500000074505806,2762.416508819468,290
40,7,0.01809999905526638,3151.089085462469,264
40,8,0.017899999395012856,3535.6430587289096,297
40,9,0.01860000006854534,3919.112929520892,228
40,10,0.01979999989271164,4318.599809253443,302
40,11,0.020399998873472214,4709.148169728605,288
40,12,0.022099999710917473,5106.651261306098,238
40,13,0.024299999698996544,5498.338587451812,266
40,14,0.02589999884366989,5881.881575471078,300
40,15,0.02759999968111515,6280.6750293735195,303
40,16,0.027400000020861626,6674.567151429203,333
40,17,0.025699999183416367,7069.750554447065,238
40,18,0.02929999865591526,7464.630716565934,264
40,19,0.03359999880194664,7863.532395069912,244
40,20,0.03539999946951866,8257.220233525475,274
40,21,0.03929999843239784,8657.033534922117,304
40,22,0.04189999774098396,9050.070863042498,324
40,23,0.04209999740123749,9448.952057893177,254
40,24,0.04189999774098396,9843.049935982319,294
40,25,0.04600000008940697,10224.748351581084,307
40,26,0.04490000009536743,10623.9211809335,343
40,27,0.05379999801516533,11021.934827058043,323
40,28,0.050999999046325684,11417.07111754169,346
40,29,0.057099997997283936,11816.106211938202,335
40,30,0.058399997651576996,12215.173978351064,296
40,31,0.0575999990105629,12604.687817549775,313
40,32,0.06239999830722809,13001.069805882305,284
40,33,0.05869999900460243,13400.541738010557,283
40,34,0.060999996960163116,13794.310409886313,345
40,35,0.06700000166893005,14190.658875288796,313
40,36,0.07039999961853027,14589.066391621913,318
